รหัสร้านค้า/สาขา,ชื่อร้านค้า,รหัสกลุ่มตัวเลือกเสริม,ชื่อกลุ่มตัวเลือกเสริม,สถานะการแสดงเมนูที่หน้าร้านค้า,หมายเหตุ,รหัสตัวเลือกเสริม,ชื่อตัวเลือกเสริม,ราคาเพิ่มเติมของตัวเลือก (฿),สถานะของตัวเลือกเสริม,ข้อจำกัดตัวเลือกเสริม,X,Y,เมนูที่ผูกไว้,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2025913542009344""",ความหวาน,แสดงเมนู,,"=""2025967393989122""",หวานมาก 200%,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,2035955801760256#2643254118750720#2035950934172160#2035971219087360#2035950191992832#2466162749407744#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2639167031270400#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2634634361788928#2640133131557376#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2481063311002624#2685485808034304#2036023845904384#2531306903050240#2643251108862464#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2466156880004096#2481065432648704#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2639168936892928#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2476745102904320#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2640118287964672#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2634654449867776#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2466182941787136#2035954600386560#2466170085344256,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2025914426139136""",แยกน้ำแข็ง,แสดงเมนู,,"=""2025914426155520""",แยกน้ำแข็ง,3,พร้อมจำหน่าย,ไม่จำกัด,,,2035955801760256#2035950934172160#2035971219087360#2035950191992832#2035973480783872#2035974334947328#2036031881322496#2483534695534080#2483538555735040#2035956504945152#2482311366315520#2463263179654144#2036011953496576#2534835210999808#2035970393153536#2591167330294272#2476793101568512#2748385436329472#2036011307360256#2035965318586880#2035952592658432#2035955132063744#2488095588060160#2471227068632064#2685485808034304#2036023845904384#2476707554249216#2748382045219328#2534590891660800#2568233223560192#2035964543181312#2036031220129792#2591173929278464#2035958178849280#2463266156052992#2035915327775232#2035929394717184#2534314857043968#2036023190970368#2944861680138240#2748383136392704#2653285325527552#2486663893191680#2486669035671040#2476703913102336#2035976159748608#2591179103066624#2970522469726208#2035962409689088#2036029215105024#2035946936360960#2001840413628416#2482308320284160#2466129961927680#2471217986505728#2035961126806016#2035960316469248#2036017101955584#2463264255804416#2476714197240320#2036030560920064#2036018203664896#2466134036087296#2035926352093184#2035949566386176#2035953395212800#2486660673801728#2036025039052800#2036014408409600#2653300422876160#2036016510902784#2036022599246336#2486666748726784#2035945924894720#2035959681572864#2036019807199232#2036013836541952#2036026321018880#2483536546172416#2486655182490624#2488097824525312#2471222752218112#2534623812442112#2035948064661504#2486652702198784#2488093025963520#2036029991477760#2473112192256512#2568243239148032#2653291415755776#2036013205692416#2035966767997440#2653296383105536#2035959022821376#2036021911478784#2486653864250368#2463265350189568#2035963759337472#2591186275916288#2036020665278976#2036024399880192#2473114179980288#2035966040252416#2035951546671104#2036025616605696#2482309736599040#2478149939087872#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2473119347035136#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2489613938674688""",กาแฟ,แสดงเมนู,,"=""3242232716035584""",เพิ่มช็อตกาแฟ 1 ช็อต,18,พร้อมจำหน่าย,ไม่จำกัด,,,2466162749407744#2463263179654144#2476793101568512#2471227068632064#2481063311002624#2531306903050240#2476707554249216#2463266156052992#2476703913102336#2466156880004096#2481065432648704#2466129961927680#2471217986505728#2463264255804416#2476714197240320#2466134036087296#2476745102904320#2471222752218112#2473112192256512#2463265350189568#2473114179980288#2478149939087872#2473119347035136#2466182941787136#2466170085344256,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2489613938674688""",กาแฟ,แสดงเมนู,,"=""3242232716035585""",เพิ่มช็อตกาแฟ 2 ช็อต,26,พร้อมจำหน่าย,ไม่จำกัด,,,2466162749407744#2463263179654144#2476793101568512#2471227068632064#2481063311002624#2531306903050240#2476707554249216#2463266156052992#2476703913102336#2466156880004096#2481065432648704#2466129961927680#2471217986505728#2463264255804416#2476714197240320#2466134036087296#2476745102904320#2471222752218112#2473112192256512#2463265350189568#2473114179980288#2478149939087872#2473119347035136#2466182941787136#2466170085344256,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2619418001578496""",ประเภท,แสดงเมนู,,"=""2620385282120192""",เย็น,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,2035955801760256#2035950934172160#2035971219087360#2035950191992832#2035956504945152#2534835210999808#2035970393153536#2591167330294272#2035965318586880#2035952592658432#2035955132063744#2035964543181312#2591173929278464#2035958178849280#2035915327775232#2035929394717184#2534314857043968#2944861680138240#2591179103066624#2970522469726208#2035962409689088#2035946936360960#2035961126806016#2035960316469248#2035926352093184#2035949566386176#2035953395212800#2035945924894720#2035959681572864#2035948064661504#2568243239148032#2035966767997440#2035959022821376#2035963759337472#2591186275916288#2035966040252416#2035951546671104#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2619418001578496""",ประเภท,แสดงเมนู,,"=""2619418001594881""",ปั่น (สูตรเข้ม) ,15,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,2035955801760256#2035950934172160#2035971219087360#2035950191992832#2035956504945152#2534835210999808#2035970393153536#2591167330294272#2035965318586880#2035952592658432#2035955132063744#2035964543181312#2591173929278464#2035958178849280#2035915327775232#2035929394717184#2534314857043968#2944861680138240#2591179103066624#2970522469726208#2035962409689088#2035946936360960#2035961126806016#2035960316469248#2035926352093184#2035949566386176#2035953395212800#2035945924894720#2035959681572864#2035948064661504#2568243239148032#2035966767997440#2035959022821376#2035963759337472#2591186275916288#2035966040252416#2035951546671104#2035957223202816#2035963095818240#2035948795551744#2591168375168000#2035954600386560,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2625496126904832""",ช็อตมัทฉะ,แสดงเมนู,,"=""2625496126921728""",ไม่เพิ่ม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,2534835210999808#2685485808034304#2534590891660800#2568233223560192#2534314857043968#2534623812442112#2568243239148032,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2625496126904832""",ช็อตมัทฉะ,แสดงเมนู,,"=""2625496126921729""",เพิ่มช็อตมัทฉะ 1 กรัม,9,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,2534835210999808#2685485808034304#2534590891660800#2568233223560192#2534314857043968#2534623812442112#2568243239148032,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2625496126904832""",ช็อตมัทฉะ,แสดงเมนู,,"=""2625496126921730""",เพิ่มช็อตมัทฉะ 2 กรัม,18,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,2534835210999808#2685485808034304#2534590891660800#2568233223560192#2534314857043968#2534623812442112#2568243239148032,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2631797327109120""",ขนาด ปริมาณ แก้วกาแฟ,แสดงเมนู,,"=""2631797327125504""",แก้วมาตรฐาน,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,2463263179654144#2466129961927680#2473114179980288,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2631797327109120""",ขนาด ปริมาณ แก้วกาแฟ,แสดงเมนู,,"=""2631797327125505""",แก้วใหญ่ 22oz เข้ม +1 ช๊อต ซีลแน่น,18,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,2463263179654144#2466129961927680#2473114179980288,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671476543562752""",ท็อปปิ้งขนมปัง,แสดงเมนู,,"=""2671476543578624""",ไม่เพิ่ม (ต้นตำรับ),0,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671476543562752""",ท็อปปิ้งขนมปัง,แสดงเมนู,,"=""2671476543578625""",โรยน้ำตาล,0,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671476543562752""",ท็อปปิ้งขนมปัง,แสดงเมนู,,"=""2671476543578626""",ราดนมฉ่ำ ๆ,3,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671476543562752""",ท็อปปิ้งขนมปัง,แสดงเมนู,,"=""2685546505315328""",โรยผงโกโก้ + ซอสช็อกโกแลต,5,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671476543562752""",ท็อปปิ้งขนมปัง,แสดงเมนู,,"=""2671476543578627""",ราดคาราเมล ฉ่ำๆ,5,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671476543562752""",ท็อปปิ้งขนมปัง,แสดงเมนู,,"=""2673475093799424""",ราดน้ำผึ้ง,5,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671476543562752""",ท็อปปิ้งขนมปัง,แสดงเมนู,,"=""2687291665425408""",แยมสตรอว์เบอร์รี่,5,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671476543562752""",ท็อปปิ้งขนมปัง,แสดงเมนู,,"=""2687291665425409""",แยมส้ม,5,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2671476543562752""",ท็อปปิ้งขนมปัง,แสดงเมนู,,"=""2687291665425410""",แยมบลูเบอร์รี่,5,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2675562478297600""",โปรโมชั่น ปังเนยกรอบอบไอน้ำ,แสดงเมนู,,"=""2675562478314497""",สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,15,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2675562478297600""",โปรโมชั่น ปังเนยกรอบอบไอน้ำ,แสดงเมนู,,"=""2675562478314496""",ไม่เพิ่ม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2676059704648192""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2688610151785472""",ช็อตมะนาว,แสดงเมนู,,"=""2688610151817728""",ไม่เพิ่ม,0,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2483538555735040#2036011953496576#2476793101568512#2685485808034304#2036018203664896#2486666748726784#2036019807199232#2036020665278976,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2688610151785472""",ช็อตมะนาว,แสดงเมนู,,"=""2688610151817729""",เพิ่ม 1 ช็อต,11,พร้อมจำหน่าย,เลือกขั้นต่ำ,"=""1""",,2483538555735040#2036011953496576#2476793101568512#2685485808034304#2036018203664896#2486666748726784#2036019807199232#2036020665278976,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2719489012835840""",โปรโมชั่น ชิโอปัง,แสดงเมนู,,"=""2719489012868609""",สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,25,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2702834868003840""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2719489012835840""",โปรโมชั่น ชิโอปัง,แสดงเมนู,,"=""2719489012868608""",ไม่เพิ่ม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2702834868003840""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2719923818179072""",โปรโมชั่น ปังมันม่วง,แสดงเมนู,,"=""2719923818210817""",สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,27,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2718363917855232""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2719923818179072""",โปรโมชั่น ปังมันม่วง,แสดงเมนู,,"=""2719923818210816""",ไม่เพิ่ม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2718363917855232""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2738720217310720""",รสชาติ ไอศครีม,แสดงเมนู,,"=""2738720217328128""",นม,0,งดจำหน่าย,บังคับเลือก,"=""1""",,"=""2738717429164544""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2738720217310720""",รสชาติ ไอศครีม,แสดงเมนู,,"=""2739188258220544""",>รสอื่นๆ<  (แรนด้อม),0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2738717429164544""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2748230794438144""",ชิโอปัง เพิ่มไส้พิเศษ,แสดงเมนู,,"=""2748230794471936""",ไม่เพิ่ม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2702834868003840""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2748230794438144""",ชิโอปัง เพิ่มไส้พิเศษ,แสดงเมนู,,"=""2748232292902400""",ช็อคโกแลต,9,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2702834868003840""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2748230794438144""",ชิโอปัง เพิ่มไส้พิเศษ,แสดงเมนู,,"=""2748232292902401""",วนิลา,9,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2702834868003840""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2748230794438144""",ชิโอปัง เพิ่มไส้พิเศษ,แสดงเมนู,,"=""2748232292902403""",สตรอเบอรี่,9,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2702834868003840""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2748230794438144""",ชิโอปัง เพิ่มไส้พิเศษ,แสดงเมนู,,"=""2748232292902404""",บลูเบอรี่,9,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2702834868003840""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2748230794438144""",ชิโอปัง เพิ่มไส้พิเศษ,แสดงเมนู,,"=""2748232292902405""",ส้ม,9,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2702834868003840""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2791851551663616""",โปรโมชั่น บราวนี่,แสดงเมนู,,"=""2791851551696384""",ไม่เพิ่ม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2763730334689792""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2791851551663616""",โปรโมชั่น บราวนี่,แสดงเมนู,,"=""2791851551696385""",สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,17,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2763730334689792""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2832921111897600""",โปรโมชั่น Soft Cookie โฮมเมด,แสดงเมนู,,"=""2832921111913984""",สุดคุ้ม เพิ่มอีก 1 ชิ้นแบบเดียวกัน,20,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2832921111897600""",โปรโมชั่น Soft Cookie โฮมเมด,แสดงเมนู,,"=""2832921111913985""",ไม่เพิ่ม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,,
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2950624656128000""",ซอฟต์คุกกี้ เลือกรสชาติ,แสดงเมนู,,"=""2950624656143872""",ซอฟต์คุกกี้ - ดั่งเดิม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2950619592160768""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2950624656128000""",ซอฟต์คุกกี้ เลือกรสชาติ,แสดงเมนู,,"=""2950624656143873""",ซอฟต์คุกกี้ - โกโก้,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2950619592160768""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2950624656128000""",ซอฟต์คุกกี้ เลือกรสชาติ,แสดงเมนู,,"=""2950624656143874""",ซอฟต์คุกกี้ - มัจฉะ,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2950619592160768""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2968910413985792""",โปรโมชั่น มันไทยอบ ดั้งเดิม,แสดงเมนู,,"=""2968910414018561""",สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,17,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2967472896374784""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2968910413985792""",โปรโมชั่น มันไทยอบ ดั้งเดิม,แสดงเมนู,,"=""2968910414018560""",ไม่เพิ่ม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2967472896374784""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2991760258266624""",โปรโมชั่น เค้กกล้วยหอม,แสดงเมนู,,"=""2991760258283008""",สุดคุ้ม เพิ่มอีก 1 ชิ้นแบบเดียวกัน,17,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2991758051948544""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""2991760258266624""",โปรโมชั่น เค้กกล้วยหอม,แสดงเมนู,,"=""2991760258283009""",ไม่เพิ่ม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""2991758051948544""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""3137374016371200""",โปรโมชั่น วาฟเฟิลเบลเยียมโฮมเมด ดั้งเดิม,แสดงเมนู,,"=""3137374016403456""",สุดคุ้ม เพิ่มอีก 1 ชิ้น แบบเดียวกัน,23,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""3137372581526016""",
"=""10212109""",TELL TEA (เทลที กรมหลวงประจักษ์),"=""3137374016371200""",โปรโมชั่น วาฟเฟิลเบลเยียมโฮมเมด ดั้งเดิม,แสดงเมนู,,"=""3137374016403457""",ไม่เพิ่ม,0,พร้อมจำหน่าย,บังคับเลือก,"=""1""",,"=""3137372581526016""",
